Gene_Name,Sequence_Name,Wormbase_ID,ADL,AFD,AIN,AIY,ASEL,ASER,ASG,ASI,ASK,AVA,AVE,AVG,AVH,AVK,AVM,AWA,AWB,AWC,BAG,CAN,DA,DD,I5,IL1,IL2,NSM,OLL,OLQ,PHA,PVC,PVD,PVM,RIA,RIC,RIM,RIS,RMD,SMD,VB,VC,VD
srpr-2.2,R144.15,WBGene00195017,31062.47666,42468.28207,37827.31441,26928.85449,58829.22912,95494.9514,56625.01183,23797.49315,58635.68847,46654.21901,40088.41647,24342.37706,27671.763,17923.85383,23561.9018,36202.5464,29457.8527,20748.88067,46378.39127,35771.46133,29779.86825,29973.97265,51345.32374,41731.57786,27681.38531,19333.56657,27578.10408,41278.07281,31632.25369,37479.04139,23524.49046,20353.68056,25883.09912,22013.73296,20294.41426,35827.5162,34280.50628,35393.40096,31963.44279,21510.87084,28055.56979
F32B5.9,F32B5.9,WBGene00044927,20851.79804,31843.70106,21310.25736,17166.78939,30450.52895,11839.7434,6186.993671,6955.768573,8495.609892,22531.68205,20713.79243,7317.660263,10746.22426,9562.808841,9403.680477,9675.809852,15118.69491,2434.974178,35117.34946,3114.253682,7131.646278,10133.3548,15597.51714,11721.90164,6169.768156,13391.55162,5879.135371,9454.964311,5220.905651,6083.475038,13405.91115,10965.14261,16466.25916,30494.98116,17728.86105,10256.50178,17933.75377,11611.74641,12601.49443,16988.0978,3794.146774
sup-6,F58G1.10,WBGene00006315,3531.925766,22256.52514,25312.45102,62454.43339,42814.94168,25476.39291,11048.26425,14689.08099,65622.52245,11102.94212,9724.36046,65190.84066,4500.485548,24447.27857,4711.731475,8933.144392,47451.55232,4037.904173,30727.8011,2674.845292,4235.411421,5209.008891,8694.974561,16513.32965,13338.50517,54552.68146,4507.828685,5328.880117,5292.640687,3820.525457,45187.40409,35066.79735,46703.4081,36699.96567,3694.95811,22609.39519,7293.095469,4283.062938,10533.54894,24339.87935,3500.966813
F59C6.15,F59C6.15,WBGene00045164,414.895349,21055.57048,733.5669002,1435.195536,682.5892622,607.3478138,261.1045109,305.2775511,596.8787372,611.6772066,28412.25852,1442.167825,390.4120129,477.3159932,25621.63139,986.8725594,848.2118558,266.1005733,767.3753574,540.9504575,366.4450737,25871.32409,394.3479908,726.6058272,608.484348,586.6445877,13606.19047,551.4424172,333.4807947,373.1214722,496.8453617,946.4752347,462.2495709,549.1714019,773.7065485,753.7446399,557.0405743,368.6347781,828.2024222,38090.29121,13888.51221
srpr-2.1,ZC155.8,WBGene00195016,14568.86069,20074.77718,18941.09326,21532.54885,29086.18553,31013.36289,15924.53674,15757.32648,13401.69824,27654.60371,25963.90795,16097.70179,15392.60007,8770.181248,18822.2219,30674.86463,15802.92762,12080.576,20895.12773,23413.9401,14817.67739,18440.49202,34690.28111,21504.12356,17159.07217,11605.59752,18109.66372,34103.17107,18924.5174,30152.50862,14113.90499,19881.83636,15240.40625,12494.34559,15175.99709,22284.09313,21014.31505,22430.90161,22314.06377,14185.9855,17651.00894
F31C3.16,F31C3.16,WBGene00201398,15337.62013,18142.69215,12892.83541,12824.26067,6511.169825,41571.61048,13765.1928,12025.335,5419.007532,17800.69222,9414.367364,8884.336653,14359.28396,13945.99281,17458.69185,15348.49415,46598.98568,32913.17647,19121.03995,15981.8754,7824.882965,9189.644588,31275.53797,5558.391189,9772.779191,24568.25177,21892.82912,24250.03357,35782.91116,23155.40532,18142.75516,28936.12592,11814.16162,20830.60683,24580.93511,17326.87648,22257.45244,29901.59654,17463.57057,14843.32154,12918.43359
lfor-1,C38C6.8,WBGene00045388,6706.526853,16328.00989,10859.15733,4723.176197,28776.59262,11192.48408,7565.852717,4446.306119,2752.260142,12615.28606,9910.245824,4422.527832,13729.54377,1425.284961,15380.22122,5693.224138,3319.974423,15181.22266,12214.21957,2880.864589,11840.65298,6551.691701,11096.27408,10921.82277,10040.96443,1746.829987,3810.512794,3827.601378,4720.844948,2920.627463,3974.643931,7682.849053,3533.525581,15458.30048,15331.07926,7139.769506,8406.224022,10277.81374,9015.080239,18940.52203,4095.466987
mrpr-1,E04F6.16,WBGene00045095,10660.37343,13654.23499,12731.04631,12923.01787,19733.45153,7608.319015,10216.28015,7248.36279,8688.739546,17573.8186,14062.72786,24352.00243,9543.63859,7555.217081,10946.94387,11063.99101,7777.166989,8604.493286,12364.64173,9666.433271,16056.43124,17086.52103,16432.26116,13143.72614,20701.91301,10883.04828,7868.566193,14091.10697,9714.04062,9169.673799,9713.50417,12965.33935,8873.127366,10784.83324,16207.89938,14868.09417,10666.928,12136.75447,13953.40524,16581.2198,9148.061922
rpr-1,Y48G10A.7,WBGene00045238,9219.705039,11781.46677,9199.709168,7746.815825,15706.51372,12806.41438,9503.483147,6104.093632,6326.160648,19981.8662,15030.32783,16035.65412,10352.19592,4868.942474,10113.3592,8370.192057,7472.707646,7844.511483,11784.76722,9231.340018,12857.73583,16253.22432,9323.415887,13072.21349,15099.32568,5997.913894,6865.966085,7897.095931,8034.764137,7187.648064,6837.842133,8779.480175,9282.167535,6302.743084,10415.91154,6830.087928,9343.036724,11375.3315,10777.96334,9937.817707,9631.553753
srpr-1.2,B0285.12,WBGene00045168,6786.216476,10952.40948,8941.201718,15585.98486,14866.42102,13554.69198,9431.340889,8188.06014,6444.784533,13824.25193,9977.271483,6642.39596,8834.169499,4571.616856,8421.643511,11398.62916,11633.18944,5599.123388,10221.28907,14041.53691,12241.0134,10811.43248,18906.32508,11395.71946,11683.04795,3855.241274,11448.80479,18376.27747,10326.41739,16530.73909,5528.242952,9122.034033,6935.825141,5776.713852,7179.258257,7729.694302,11749.83279,9077.927718,9355.937217,5666.671131,10766.71244
F38E11.11,F38E11.11,WBGene00014367,6537.21633,10657.57613,8617.157526,8586.834075,21857.86826,7629.353188,3372.136093,5157.900697,4635.879651,5761.874139,6291.193957,6347.279769,4694.479277,5687.3885,6295.113896,3493.459946,12023.93993,1783.06754,12464.45516,346.6184511,590.7056965,1354.685843,5309.950864,6161.496941,2019.194505,9548.40616,2779.209141,3142.214296,2409.916444,2696.77361,16333.4633,11090.7608,11577.05794,14840.64125,4909.745,8255.213615,6635.155637,4641.332756,5680.716141,8526.516151,681.2374898
rrn-3.56,F31C3.10,WBGene00004677,11167.47419,9897.785592,17041.2554,29851.85705,55157.72902,69627.60371,9400.03879,26162.54714,14399.2942,10281.92849,7864.066568,19619.35823,34527.97777,17871.75509,18672.32775,11493.6793,28494.03204,22295.70374,35043.38501,12634.1468,5791.596502,8475.130521,15312.73583,40168.56858,9555.658419,19967.98113,9703.510353,9393.614655,12062.3376,12196.77237,11790.3926,36425.04569,20022.72038,21069.62345,16469.31133,103598.9001,22196.76636,11805.15686,7893.981213,31664.90234,6634.711043
droe-4,F58E10.7,WBGene00010262,57.74743686,9004.21709,35.99955655,21.77955613,1433.019345,462.0607336,951.4034363,69.32187882,13101.29885,85.27723818,44.66586521,43.65839418,19.68924906,12.38024484,58.11244567,6929.041532,2604.66649,767.0685132,63.81685077,40.72701886,30.07668166,31.32135787,49.02899605,130.8866673,102.1838177,46.07969152,51.52059476,32.05901662,116.1476642,83.86471355,30.7802384,114.6165701,172.2643181,87.73100004,17.91219133,58.13351023,110.2459002,118.3074503,69.16379536,12.82171613,24.06753678
flp-6,F07D3.2,WBGene00001449,95.12931421,8848.876854,90.17892356,43.22597157,3003.276374,5905.661595,60.95904418,83.33210869,24.64343938,127.8854305,82.21853214,33.40825906,137.4537282,17.20314314,92.30465043,111.2200541,1277.779026,939.1135559,631.6927009,83.35571894,58.22772197,60.01385742,93.97592821,182.883458,67.92113149,23.53931104,177.2544419,203.9027701,177.7137339,189.912717,38.14718359,198.66024,1138.864971,103.1555928,92.16073718,58.78638697,440.8498765,123.3433767,148.3273174,14.12534315,69.05951481
ntc-1,F39C12.4,WBGene00044568,1.696987943,8108.626305,4.716762441,3.910509578,6.286871717,16.72354354,7.427742524,2.545228856,3.267365063,19.54387107,3.34645895,2.395903949,2.348841872,2.479698248,2.458423784,4.838636083,10.2769621,34.11489958,5.484859952,5.742733775,11.68785007,12.43194198,4.584548727,11.29236923,3.5532899,5.384057316,11.58781371,8.109161778,10.06091768,11.45832743,7.016452243,4.359115475,8.435171468,3.817576166,1.691311437,16.6637704,10.74270069,5.467434019,11.05252331,2.836851575,3.506053484
